GeneAcc,HKR1T1,LIR1T1,HKR2T1,LIR2T1,UIR1T1,LIR3T1,HKR1T2,LIR1T2,HKR2T2,LIR2T2,UIR1T2,LIR3T2,HKR1T3,LIR1T3,HKR2T3,LIR2T3,UIR1T3,LIR3T3
5729877,1628123.99790577,1379747.77880859,2560195.25484881,1774805.07470703,1769418.11492028,1539897.74462891,1375267.22808125,1179072.14135742,2022583.29931315,1442936.92724609,1432946.50206859,1303916.18994141,1719946.18610674,1427062.99804688,2656965.61967807,1987451.13671875,1699276.03475496,1571109.58862305
735367803,2313192.19565684,2078248.50457764,1412877.9155881,2689032.95953369,2365215.13481773,3245983.55096436,1641700.04920385,1538024.82348633,948998.307454095,2064559.84301758,1788551.50118694,2495990.61279297,1521928.34944247,1362658.54119873,891077.716365072,1830414.06317139,1593242.19730911,2187753.54589844
12667788,220762.300336384,450325.2421875,211999.623080966,387906.169433594,260514.258245376,693889.388671875,266087.535588978,535993.723632813,234836.865158248,661676.982910156,433632.359691134,949296.26953125,327350.919909916,651824.627502441,371376.253848688,788036.690429688,420030.160753839,1179937.30426025
4758304,2990424.15072126,3618646.27832031,2179344.14632794,3545150.17382813,3215234.1930379,2778177.15234375,1735032.42598863,1783488.08984375,1386680.21329329,2080910.14941406,1920234.71171082,1701998.06542969,1439571.44941675,1434228.82055664,1213635.83056144,1702664.14941406,1645256.72927979,1466347.79736328
189083772,5482326.35921581,4983901.62792969,7468422.62505915,6304271.9675293,7693767.17062277,7737484.18554688,2849658.86253922,2594442.40014648,3911514.87629465,3236207.34716797,4050201.22263341,4008990.79052734,3738777.2585472,3715666.31958008,5205290.43253422,4081951.21972656,5435227.82374278,5271009.57836914
4505763,6312591.81462335,3843916.97900391,5172194.70372347,3038230.19921875,3641002.36389504,2837112.45996094,5209533.90963734,3044201.23632813,3176467.89061434,2391576.18017578,2784797.82637766,2088773.390625,4518624.97980463,2809624.09765625,3426693.03402546,2224790.64001465,2657321.4169027,1923979.07641602
4757900,13922264.7792408,12392658.4666748,23462446.0859272,31216031.5911865,13559202.2739153,10301773.6358643,8348910.52960114,7120399.32263184,15061654.2690933,19117962.4260254,7870365.75935078,5867488.58032227,9875695.62005155,8708076.05834961,18240586.4199944,23037336.6640625,9718781.67260159,7232971.13720703
4503571,5929873.75934936,3971736.79785156,6211246.7619911,3494032.23486328,4515076.70583398,3114575.29272461,4080331.08169064,2731394.11474609,4332834.43104714,2526324.09094238,3023498.27048275,1975428.83972168,3794314.71163397,2541128.74682617,4389116.43280709,2205845.30908203,2763417.57505065,1794124.94384766
4505257,1240420.39681484,1077817.60546875,947067.961717412,819201.8125,1414412.86593624,1169580.43652344,1014540.32909333,838255.823608399,798684.363586344,606556.679443359,1209571.10693768,1061305.7421875,742721.510184003,601521.925292969,615356.791570242,458675.759277344,848046.054103875,742077.463378906
14141161,322022.499547981,520069.257568359,497650.154081482,785729.198486328,459066.395253247,924976.0078125,434197.888623836,471317.719238281,428630.120551755,531027.176879883,471580.860477769,696657.907653809,263393.085084474,392440.435546875,335352.76041307,320012.623046875,432937.699661387,538401.33203125
4502107,1469049.29402131,1744219.64520264,3327065.07796109,3189166.03112793,1485804.32138081,2253984.6340332,1035214.1222073,1399400.85913086,2419008.29229882,2273069.41601563,1046099.74175642,1594527.89331055,815917.99032168,978302.858276367,2275107.55358739,1957820.27355957,869894.434113449,1295554.79321289
431822403,2762645.55709337,2701530.12988281,4752248.01719274,3390342.28198242,3284698.48747032,4187793.31225586,1497554.90028155,1470678.74707031,2343989.4701904,1620304.77197266,1822664.14659574,2262603.74041748,1553571.48228415,1578844.45007324,2541886.56362994,1666601.51025391,1955017.55321067,2446397.83227539
332164775,1972194.23820102,1754464.70605469,3307215.47812476,1621155.14550781,2444671.37898833,2155777.72070313,809742.756480268,660803.502441406,1590470.13650717,649894.461425781,947440.004709966,792896.588867188,571563.299899343,490160.580810547,1260388.53296728,446233.750732422,690761.768328579,567564.396972656
164663805,20885909.4156526,26859376.6208496,11690535.0659093,33139978.991333,66910454.3722806,74274948.9564209,13848428.6371046,18231553.998291,7592082.59833278,22423355.0135498,45294730.7927604,51171033.324707,14129543.6750033,18849309.8320312,8272376.7276172,22784542.644043,48472606.6350542,53683905.1748047
