"geneAcc","geneSym","logFC","FC","p.val.paired.ttest","adj.pvalue.FDR","significant","status.Live"
"62414289","VIM",-0.211432590343222,0.863679175425757,0.167938298144145,0.232170454880593,"no","down"
"27436946","LMNA",-0.274468870319033,0.826754632712494,0.00437752117867917,0.0136797770701971,"no","down"
"16507237","HSPA5",-0.025269257097996,0.982637187137063,0.722649072361885,0.767627230392708,"no","down"
"20070125","P4HB",-0.198313545850301,0.871568797922352,0.010401244855307,0.0258516376986271,"no","down"
"5031877","LMNB1",0.301654551809371,1.23255715870394,0.0122276384880646,0.0287181234215095,"no","up"
"21361657","PDIA3",0.231279024365826,1.17387518960335,0.279213728134314,0.346984050497011,"no","up"
"21735621","MDH2",0.117182461112364,1.0846145739834,0.190687586518211,0.258285831474402,"no","up"
"50845388","ANXA2",0.324599368138372,1.25231662595674,0.00712855388320815,0.0196224398371401,"no","up"
"34577059","PLIN2",0.414690786788086,1.33301294145303,0.000772741315481983,0.00386106731962772,"yes","up"
"4507677","HSP90B1",0.0449676763735063,1.03166006466713,0.46083784232714,0.524331056158879,"no","up"
"5729877","HSPA8",-0.291894766169058,0.816828570482196,0.000125283885982412,0.000971899236712044,"no","down"
"735367803","ITGB2",0.305928862936593,1.23621430360083,0.185925208380325,0.253174751837038,"no","up"
"12667788","MYH9",0.950315257067377,1.93229485591611,2.7721195286219e-05,0.000322573908785094,"yes","up"
"4758304","PDIA4",0.278909487705988,1.21327743884668,0.0296196478444552,0.0545512938718023,"no","up"
"189083772","GSN",-0.15867679583182,0.89584634232817,0.00896553545689582,0.0229517707696533,"no","down"
"4505763","PGK1",-0.558486503552707,0.679014127492331,0.000132024546784021,0.00099406717578557,"yes","down"
"4757900","CALR",0.0566821027782325,1.04007106206637,0.618300342418456,0.679334281798819,"no","up"
"4503571","ENO1",-0.614815164272439,0.653013551212779,1.0787639690593e-05,0.000172602235049488,"yes","down"
"4505257","MSN",-0.255954617105875,0.83743283023966,0.000203408938999201,0.00130181720959488,"no","down"
"14141161","HNRNPU",0.328132284616625,1.25538709584916,0.0289984805688615,0.054186941792909,"no","up"
"4502107","ANXA5",0.0924346604491468,1.06616790665803,0.361432936117078,0.434373308087675,"no","up"
"431822403","HSP90AB1",-0.214409111807104,0.861899097585421,0.0664358351314763,0.108328495501006,"no","down"
"332164775","PKM",-0.605594610956988,0.657200457195726,0.019544670996611,0.0407134181565469,"yes","down"
"164663805","METTL7B",0.725886836686094,1.65391700048071,0.00438180359279751,0.0136797770701971,"yes","up"
"55770836","SCCPDH",0.572554884311778,1.48715485873896,0.0133186263287668,0.0301731711518965,"yes","up"
"5031987","PPIF",-0.112251147079551,0.925143363313737,0.223064385441768,0.297419180589024,"no","down"
"55956788","NCL",-0.782894900257645,0.581199392354359,0.0131585239695028,0.0300766262160063,"yes","down"
"24119203","TPM3",-0.0682014309265995,0.953826366792999,0.597644525073479,0.659469820770735,"no","down"
"4503471","EEF1A1",-0.284255974864351,0.821164989954181,0.0143194617052994,0.0316015706599711,"no","down"
"157649073","CAP1",-0.379127034119477,0.768902708201307,0.264770440203518,0.335550656891587,"no","down"
"10863927","PPIA",-0.821526314798017,0.565842986169833,4.78007923162973e-05,0.000525915695770111,"yes","down"
"41399285","HSPD1",0.600665781068901,1.51641620728899,0.0108348693735745,0.0266704476887987,"yes","up"
"4757810","ATP5A1",0.598160013338113,1.51378468174772,6.42286894652646e-05,0.000632405557811836,"yes","up"
"119395750","KRT1",0.0464175070212178,1.03269734846886,0.782942816052294,0.811471096799139,"no","up"
"195972866","KRT10",-0.00172738827239982,0.99880338220798,0.991373014099427,0.991373014099427,"no","down"
"42794752","ACSL3",0.506977321341619,1.42106970429008,0.000233569091837042,0.00145838262220202,"yes","up"
"88900491","GANAB",0.0545800853220513,1.0385567741885,0.303917320547048,0.370489686000211,"no","up"
"62865635","SQLE",0.352194900596949,1.27650120585518,1.36690924468259e-05,0.000205840450963966,"no","up"
"4557305","ALDOA",-0.682012866748167,0.623295038224663,0.000159412819326242,0.00113360227076439,"yes","down"
"574280091","PRKCSH",0.177971724463173,1.13129229030813,0.166901049198985,0.232170454880593,"no","up"
"24234688","HSPA9",-0.268538174109004,0.830160288421495,0.00403119926668012,0.0130631267375963,"no","down"
"613410229","HSD17B11",-0.00796635546586089,0.994493360598556,0.965927201345553,0.9735329273404,"no","down"
"167614506","LCP1",-0.709118172195712,0.611693914222287,5.66756183874941e-06,0.000122817157643702,"yes","down"
"4504311","HIST1H4H; HIST1H4C; HIST1H4D; HIST1H4K; HIST1H4L; HIST1H4B; HIST1H4A; HIST1H4F; HIST1H4E; HIST1H4J; HIST1H4I; HIST4H4; HIST2H4B; HIST2H4A",-0.266074845132248,0.831578956026969,0.124966523123919,0.182808170969847,"no","down"
"4504523","HSPE1",0.260341892105636,1.19776251860535,0.0476668389264462,0.083580210720344,"no","up"
"10716563","CANX",0.648397979894327,1.56742670246622,0.0177251755411989,0.0381314700718229,"yes","up"
"4758950","PPIB",-0.435244678744684,0.739568314397974,0.0125370414526548,0.0291771146534511,"yes","down"
"4503143","CTSD",-0.367067419946874,0.775356971560155,0.00101046403077002,0.00466718886265269,"no","down"
"19923748","DLST",-0.0546404354455419,0.962834381527497,0.481612994323611,0.545543922773648,"no","down"
"4502013","AK2",0.0657470792816888,1.04662678040661,0.401259196794279,0.473374904973896,"no","up"
"5902076","SRSF1",-0.305865169109673,0.808956948045515,0.00356395884880019,0.0120049140170112,"no","down"
